radius-industry,radius-activity,radius-resident,percent-happy
0,0,0,2.4096385542
0,0,2,6.9879518072
0,0,4,50.9638554217
0,0,6,72.6506024096
0,2,0,15.7831325301
0,2,2,65.3012048193
0,2,4,100
0,2,6,100
0,4,0,26.5060240964
0,4,2,47.1084337349
0,4,4,100
0,4,6,100
0,6,0,26.5060240964
0,6,2,43.734939759
0,6,4,100
0,6,6,100
2,0,0,0.9638554217
2,0,2,4.9397590361
2,0,4,43.6144578313
2,0,6,74.2168674699
2,2,0,14.3373493976
2,2,2,63.734939759
2,2,4,100
2,2,6,100
2,4,0,24.9397590361
2,4,2,45.1807228916
2,4,4,100
2,4,6,100
2,6,0,25.3012048193
2,6,2,39.8795180723
2,6,4,100
2,6,6,100
4,0,0,0
4,0,2,3.734939759
4,0,4,38.9156626506
4,0,6,29.6385542169
4,2,0,14.0963855422
4,2,2,55.9036144578
4,2,4,58.5542168675
4,2,6,45.421686747
4,4,0,24.0963855422
4,4,2,41.2048192771
4,4,4,72.7710843373
4,4,6,59.3975903614
4,6,0,24.0963855422
4,6,2,35.7831325301
4,6,4,66.5060240964
4,6,6,56.6265060241
6,0,0,0
6,0,2,4.6987951807
6,0,4,37.4698795181
6,0,6,26.265060241
6,2,0,13.2530120482
6,2,2,52.8915662651
6,2,4,61.5662650602
6,2,6,43.9759036145
6,4,0,24.0963855422
6,4,2,37.4698795181
6,4,4,72.7710843373
6,4,6,56.8674698795
6,6,0,24.0963855422
6,6,2,35.3012048193
6,6,4,71.686746988
6,6,6,51.8072289157
,,,
,,,
Cellule type,,,
1,1,100,
